Date_ID,Date,Day,ISO_Week,Month,Quarter,Year,Day_of_Week,Is_US_Holiday
286,2018-10-13,13,41,10,q4,2018,saturday,False
287,2018-10-14,14,41,10,q4,2018,sunday,False
288,2018-10-15,15,42,10,q4,2018,monday,False
289,2018-10-16,16,42,10,q4,2018,tuesday,False
290,2018-10-17,17,42,10,q4,2018,wednesday,False
291,2018-10-18,18,42,10,q4,2018,thursday,False
292,2018-10-19,19,42,10,q4,2018,friday,False
293,2018-10-20,20,42,10,q4,2018,saturday,False
294,2018-10-21,21,42,10,q4,2018,sunday,False
295,2018-10-22,22,43,10,q4,2018,monday,False
296,2018-10-23,23,43,10,q4,2018,tuesday,False
297,2018-10-24,24,43,10,q4,2018,wednesday,False
298,2018-10-25,25,43,10,q4,2018,thursday,False
299,2018-10-26,26,43,10,q4,2018,friday,False
300,2018-10-27,27,43,10,q4,2018,saturday,False
301,2018-10-28,28,43,10,q4,2018,sunday,False
302,2018-10-29,29,44,10,q4,2018,monday,False
303,2018-10-30,30,44,10,q4,2018,tuesday,False
304,2018-10-31,31,44,10,q4,2018,wednesday,False
305,2018-11-01,1,44,11,q4,2018,thursday,False
306,2018-11-02,2,44,11,q4,2018,friday,False
307,2018-11-03,3,44,11,q4,2018,saturday,False
308,2018-11-04,4,44,11,q4,2018,sunday,False
309,2018-11-05,5,45,11,q4,2018,monday,False
310,2018-11-06,6,45,11,q4,2018,tuesday,False
311,2018-11-07,7,45,11,q4,2018,wednesday,False
312,2018-11-08,8,45,11,q4,2018,thursday,False
313,2018-11-09,9,45,11,q4,2018,friday,False
314,2018-11-10,10,45,11,q4,2018,saturday,False
315,2018-11-11,11,45,11,q4,2018,sunday,True
316,2018-11-12,12,46,11,q4,2018,monday,True
317,2018-11-13,13,46,11,q4,2018,tuesday,False
318,2018-11-14,14,46,11,q4,2018,wednesday,False
319,2018-11-15,15,46,11,q4,2018,thursday,False
320,2018-11-16,16,46,11,q4,2018,friday,False
321,2018-11-17,17,46,11,q4,2018,saturday,False
322,2018-11-18,18,46,11,q4,2018,sunday,False
323,2018-11-19,19,47,11,q4,2018,monday,False
324,2018-11-20,20,47,11,q4,2018,tuesday,False
325,2018-11-21,21,47,11,q4,2018,wednesday,False
326,2018-11-22,22,47,11,q4,2018,thursday,True
327,2018-11-23,23,47,11,q4,2018,friday,False
328,2018-11-24,24,47,11,q4,2018,saturday,False
329,2018-11-25,25,47,11,q4,2018,sunday,False
330,2018-11-26,26,48,11,q4,2018,monday,False
331,2018-11-27,27,48,11,q4,2018,tuesday,False
332,2018-11-28,28,48,11,q4,2018,wednesday,False
333,2018-11-29,29,48,11,q4,2018,thursday,False
334,2018-11-30,30,48,11,q4,2018,friday,False
335,2018-12-01,1,48,12,q4,2018,saturday,False
336,2018-12-02,2,48,12,q4,2018,sunday,False
337,2018-12-03,3,49,12,q4,2018,monday,False
338,2018-12-04,4,49,12,q4,2018,tuesday,False
339,2018-12-05,5,49,12,q4,2018,wednesday,False
340,2018-12-06,6,49,12,q4,2018,thursday,False
341,2018-12-07,7,49,12,q4,2018,friday,False
342,2018-12-08,8,49,12,q4,2018,saturday,False
343,2018-12-09,9,49,12,q4,2018,sunday,False
344,2018-12-10,10,50,12,q4,2018,monday,False
345,2018-12-11,11,50,12,q4,2018,tuesday,False
346,2018-12-12,12,50,12,q4,2018,wednesday,False
347,2018-12-13,13,50,12,q4,2018,thursday,False
348,2018-12-14,14,50,12,q4,2018,friday,False
349,2018-12-15,15,50,12,q4,2018,saturday,False
350,2018-12-16,16,50,12,q4,2018,sunday,False
351,2018-12-17,17,51,12,q4,2018,monday,False
352,2018-12-18,18,51,12,q4,2018,tuesday,False
353,2018-12-19,19,51,12,q4,2018,wednesday,False
354,2018-12-20,20,51,12,q4,2018,thursday,False
355,2018-12-21,21,51,12,q4,2018,friday,False
356,2018-12-22,22,51,12,q4,2018,saturday,False
357,2018-12-23,23,51,12,q4,2018,sunday,False
358,2018-12-24,24,52,12,q4,2018,monday,False
359,2018-12-25,25,52,12,q4,2018,tuesday,True
360,2018-12-26,26,52,12,q4,2018,wednesday,False
361,2018-12-27,27,52,12,q4,2018,thursday,False
362,2018-12-28,28,52,12,q4,2018,friday,False
363,2018-12-29,29,52,12,q4,2018,saturday,False
364,2018-12-30,30,52,12,q4,2018,sunday,False
365,2018-12-31,31,1,12,q4,2018,monday,False
366,2019-01-01,1,1,1,q1,2019,tuesday,True
367,2019-01-02,2,1,1,q1,2019,wednesday,False
